Years,Dates Redone,Month Number,Date,CHOLOLO,EAST_RESERVE,WEST_RESERVE,DOLDOL,Biomass.new
2006,Jun,6,2006-06-01,62.43353125,21.16665625,26.615999999999996,18.27192857142857,32.122029017857145
2006,Jul,7,2006-07-01,48.0959375,18.891687500000003,12.613479166666666,14.039428571428573,23.41013318452381
2006,Aug,8,2006-08-01,49.894749999999995,21.4311875,17.84867857142857,19.42075,27.148841517857143
2006,Sep,9,2006-09-01,60.476,17.516125,18.816107142857142,16.57892857142857,28.346790178571432
2006,Oct,10,2006-10-01,50.741249999999994,15.18825,13.565791666666668,15.490571428571428,23.746465773809522
2006,Nov,11,2006-11-01,76.13625,42.27625,40.734410714285715,59.90158928571429,54.762125
2006,Dec,12,2006-12-01,,,,,66.20575
2007,Jan,1,2007-01-01,218.34825,142.11034375,112.26366071428572,169.5838035714286,160.57651450892857
2007,Feb,2,2007-02-01,91.37325,73.64965625,56.36442857142857,73.35489285714286,73.68555691964286
2007,Mar,3,2007-03-01,135.65578125000002,80.63328125000001,62.01783928571429,71.63166071428572,87.48464062500001
2007,Apr,4,2007-04-01,103.36533333333334,60.687625,100.34615,58.93416071428571,80.83331726190475
2007,May,5,2007-05-01,110.27841666666666,62.85678125,95.1825,70.87585714285713,84.79838876488094
2007,Jun,6,2007-06-01,85.87099999999998,44.2866875,61.74575000000001,40.61348214285714,58.12922991071429
2007,Jul,7,2007-07-01,81.21525,43.59890625,90.0430357142857,48.08082142857142,65.73450334821428
2007,Aug,8,2007-08-01,94.0185625,46.6145625,50.60016666666667,52.28308928571427,60.87909523809523
2007,Sep,9,2007-09-01,93.22496875000002,52.38134375,54.973749999999995,40.09953571428571,60.169899553571426
2007,Oct,10,2007-10-01,115.44559375,52.063906249999995,49.64785416666666,43.21344642857143,65.09270014880953
2007,Nov,11,2007-11-01,93.98329166666667,36.0333125,43.58127083333333,34.29496428571428,51.97320982142857
2007,Dec,12,2007-12-01,,,,,43.09235
2008,Jan,1,2008-01-01,89.68024999999999,31.43046875,58.269053571428564,42.97158928571428,55.58784040178571
2008,Feb,2,2008-02-01,68.04159374999999,27.03925,35.68060416666666,30.878732142857142,40.41004501488094
2008,Mar,3,2008-03-01,54.8679375,26.668906250000003,32.0124375,25.950892857142858,34.87504352678572
2008,Apr,4,2008-04-01,42.55841666666666,32.012437500000004,27.533041666666673,34.869375,34.243317708333336
2008,May,5,2008-05-01,58.94171874999999,26.192749999999997,22.136604166666668,23.10907142857143,32.59503608630953
2008,Jun,6,2008-06-01,57.724875,25.7695,25.628416666666666,28.671785714285715,34.448644345238094
2008,Jul,7,2008-07-01,46.98490625,22.33059375,24.499749999999995,23.471857142857143,29.321776785714285
2008,Aug,8,2008-08-01,39.595666666666666,23.70615625,24.59044642857143,19.99516071428571,26.971857514880952
2008,Sep,9,2008-09-01,34.65774999999999,24.55265625,20.937395833333333,25.10439285714286,26.313048735119043
2008,Oct,10,2008-10-01,39.89546875,21.113749999999996,22.92767857142857,30.606642857142862,28.635885044642855
